,precision,recall,accuracy,alerts to recover (atr),alerts recovered,suprious alerts,projects with atr,avg atr per proj,name
0,0.0000,0.0000,0.0000,19.0000,0.0000,0.0000,4.0000,4.7500,fold 0
0,0.0000,0.0000,0.0000,12.0000,0.0000,0.0000,5.0000,2.4000,fold 1
0,1.0000,0.0833,0.0833,12.0000,1.0000,0.0000,4.0000,3.0000,fold 2
0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,1.0000,fold 3
0,0.0000,0.0000,0.0000,12.0000,0.0000,0.0000,4.0000,3.0000,fold 4
mean,0.2000,0.0167,0.0167,11.2000,0.2000,0.0000,3.6000,2.8300,mean
