,precision,recall,accuracy,alerts to recover (atr),alerts recovered,suprious alerts,projects with atr,avg atr per proj,name
0,0.0684,0.6596,0.0661,47.0000,31.0000,422.0000,13.0000,3.6154,fold 0
0,0.0364,0.3214,0.0338,28.0000,9.0000,238.0000,11.0000,2.5455,fold 1
0,0.0881,0.6364,0.0838,22.0000,14.0000,145.0000,14.0000,1.5714,fold 2
0,0.0180,0.7000,0.0179,10.0000,7.0000,381.0000,9.0000,1.1111,fold 3
0,0.0389,0.7500,0.0384,20.0000,15.0000,371.0000,12.0000,1.6667,fold 4
mean,0.0500,0.6135,0.0480,25.4000,15.2000,311.4000,11.8000,2.1020,mean
