,precision,recall,accuracy,atr,recovered,spurious,progwithatr,avgatr,predsinks,name
0,0.2065,0.8640,0.2000,125,108,415,34,3.6765,136,fold 0
0,0.1408,0.4643,0.1211,168,78,476,29,5.7931,105,fold 1
0,0.1627,0.8757,0.1590,185,162,834,31,5.9677,123,fold 2
0,0.1089,0.9375,0.1081,64,60,491,21,3.0476,115,fold 3
mean,0.1547,0.7854,0.1471,135,102,554,28,4.6212,119,mean
