,precision,recall,accuracy,atr,recovered,spurious,progwithatr,avgatr,predsinks,name
mean,0.0527,0.6693,0.0510,33,22,488,13,2.4254,444,Tainted Path
mean,0.1454,0.8192,0.1391,121,94,547,27,4.2470,122,NoSQL Injection
mean,0.2000,0.0167,0.0167,11,0,0,3,2.8300,187,XSS
