,precision,recall,accuracy,alerts to recover (atr),alerts recovered,suprious alerts,projects with atr,avg atr per proj,name
0,0.0278,0.0172,0.0108,116.0000,2.0000,70.0000,20.0000,5.8000,fold 0
0,0.0127,0.0312,0.0091,64.0000,2.0000,155.0000,18.0000,3.5556,fold 1
0,0.0000,0.0000,0.0000,33.0000,0.0000,66.0000,16.0000,2.0625,fold 2
0,0.0088,0.0060,0.0036,166.0000,1.0000,113.0000,18.0000,9.2222,fold 3
0,0.2189,0.5692,0.1878,65.0000,37.0000,132.0000,19.0000,3.4211,fold 4
mean,0.0536,0.1247,0.0423,88.8000,8.4000,107.2000,18.2000,4.8123,mean
