,precision,recall,accuracy,atr,recovered,spurious,progwithatr,avgatr,predsinks,name
0,0.0735,0.7179,0.0714,39,28,353,10,3.9000,450,fold 0
0,0.0889,0.6471,0.0848,51,33,338,20,2.5500,448,fold 1
0,0.0545,0.7222,0.0534,36,26,451,15,2.4000,480,fold 2
0,0.0089,0.6667,0.0089,12,8,891,10,1.2000,365,fold 3
0,0.0376,0.5926,0.0367,27,16,409,13,2.0769,477,fold 4
mean,0.0527,0.6693,0.0510,33,22,488,13,2.4254,444,mean
